key,5,6
#,Name,Description
offset,0,4
int32,str,str
0,,
1,"Postura","Envaina/Desenvaina tu arma principal."
2,"Personaje","Muestra información vital sobre tu personaje, incluidos atributos, equipación actual, títulos y más."
3,"Acciones y Rasgos","Muestra las acciones y rasgos disponibles para tu personaje también te permite ponerlos en las barras de acción."
4,"Diario","Muestra la lista de todas las misiones actuales y completadas. Desde esta lista se pueden confirmar los objetivos y ubicaciones, así como abandonar las misiones."
5,"Temporizadores","Muestra el tiempo restante para diversos deberes como, por ejemplo, las diarias tribales."
6,"Logros","Muestra la lista de los logros del juego, así como las condicones para obtenerlos."
7,"Registro de Recolección","Muestra información de los objetos previamente recolectados mediante recolección, así como las ubicaciones de los recursos categorizadas en área."
8,"Registro de Cacería","Muestra la lista de objetivos de caza para los Adeptos de la Guerra y la Magia. También se proporciona información sobre el habitat de los monstruos, las muertes registradas y la experiencia obtenida."
9,"Registro de Artesanía","Abre la interfaz de artesanía donde puedes seleccionar objetos para sintetizar."
10,"Inventario","Muestra la lista de todos los cristales y objetos en tu inventario. Desde esta lista los objetos pueden ser equipados, usados, descartados y organizados."
11,"Objetos Clave","Muestra la lista de objetos que solo puedes usar en misiones específicas. Si una misión es abandonada, todos los objetos clave asociados a ella serán descartados."
12,"Miembros del Grupo","Muestra la lista con los actuales miembros del grupo. Desde esta lista puedes cambiar el orden de los miembros y, si eres líder, expulsar a otros jugadores o disolver el grupo."
13,"Lista de Amigos","Muestra la lista de jugadores en tu lista de amigos. Desde esta lista puedes enviar mensajes privados (/tell) o invitar a los jugadores a tu grupo."
14,"Lista de Bloqueos","Muestra la lista de jugadores que has bloqueado. No leerás los mensajes de los jugadores que estén en esta lista y los jugadores en ella no podrán comerciar o invitarte a sus grupos."
15,"Búsqueda de Jugadores","Busca a otros jugadores utilizando variables como el nombre, clase, nivel y estado."
16,"Mapa","Abre el mapa de tu actual ubicación. El mapa contiene información de los miembros del grupo, Aetherytes, tiendas, gremios y misiones. Puedes acercar o alejar el mapa, así como cambiar entre mapa de región y del mundo."
17,"Emoticonos","Muestra la lista de los comandos de emoticono disponibles y que pueden ser ejecutados desde la lista, asignándolos a una barra de acciones o usando el comando."
18,"Marcadores","Marca al objetivo con diferentes marcadores para que sean mas fáciles de distinguir para los miembros del grupo y alianza."
19,"Opciones del Sistema","Ajusta las opciones del sistema como los gráficos, sonido y más."
20,"Asignación de Teclas","Asigna diversas funciones del juego a tu teclado para adaptarse mejor a tu estilo de juego."
21,"Macros","Crea y salva macros con múltiples pasos para ejecutar comandos complejos con una sola pulsación. Se puede asignar iconos a las macros y ponerlas en la barra de acciones para un fácil acceso."
22,"Diseño de la Interfaz","Ajusta la ubicación, tamaño y estado en el que se muestran los componentes de la interfaz de usuario y permite guardar los ajustes como plantillas."
23,"Desconectar","Desconecta y vuelve a la pantalla de título."
24,"Salir del Juego","Desconecta y sale del juego."
25,"Arsenal","Muestra el equipo almacenado en tu Aresnal. Desde aquí se puede equipar, reparar o devolver al inventario."
26,,
27,"Compañía Libre","Abre la interfaz de Compañía Libre, donde puedes acceder a la información de la compañía, ver y dejar mensajes, y ejecutar acciones de la compañía."
28,"Linkshells","Muestra la lista de linkshell de los que eres miembro y todos sus miembros."
29,"Registro de Pesca","Muestra información sobre tus capturas anteriores, así como las ubicaciones de los lugares de pesca categorizadaspor área."
30,"Ayuda Activa","Muestra la lista de toda la ayuda y tutoriales previamente vistos."
31,"Recomendaciones","Muestra la lista de las misiones cercanas y deberes que están disponibles."
32,"Centro de Soporte","Busca respuestas a preguntas frecuentes, informa de problemas y recibe ayuda directo del equipo de soporte de FINAL FANTASY XIV."
33,"Buscador de Deberes","Descubre y únete a deberes en solitario o en grupo, como mazmorras, incursiones y más. No es necesario formar un grupo para usar esta función."
34,"Opciones del Personaje","Ajusta las opciones del personaje como el tipo de cámara, comandos de las barras de acción, chat y más."
35,"Teletransporte","Viaja de manera instantánea a cualquier Aetheryte con el que te hayas sincronizado previamente. Se cobrará una pequeña cantidad de gil a tu llegada."
36,"Retorno","Vuelve de manera instantánea a tu punto de hogar (o al comienzo de una mazmorra). No se cobrará ninguna cuota, pero solo podrás usar este hechizo cada 15 minutos (Tiempo de la Tierra)."
37,"Licencia","Muestra el acuerdo de licencia de FINAL FANTASY XIV."
38,"Registros",（ヘルプ無し）
39,"Social",（ヘルプ無し）
40,"Sistema",（ヘルプ無し）
41,"Guía de Pesca","Muestra detalles sobre todos los peces que has capturado, donde los capturaste, así como tus registros personajes."
42,"Compañero","Muestra información sobre tus compañeros, incluido su nivel, clase y acciones disponibles."
43,"Deber",（ヘルプ無し）
44,"Vivienda","Abre la interfaz de Vivienda, donde puedes ver y gestionar tus inmuebles."
45,"Opciones de Pantalla","Ajusta las opciones de pantalla, como el modo de pantalla y la resolución."
46,"Opciones de Sonido","Ajusta las opciones de sonido, como el volumen de la música, efectos y la posición desde donde se escucha."
47,"Opciones de Gráficos","Ajusta las opciones de gráficos, lo que permite mejorar el rendimiento de tu sistema."
48,"Opciones del Ratón","Ajusta las opciones del ratón, como la sensibilidad de la cámara."
49,"Opciones del Mando","Ajusta las opciones del mando, como la vibración."
50,"Otras Opciones","Ajusta otras opciones, como el formato de las capturas de pantalla y el lenguaje de las cinemáticas."
51,"Opciones de Control","Ajusta las opciones de control, como el movimiento y la selección de objetivo."
52,"Opciones de Interfaz","Ajusta las opciones de interfaz, como el diseño de la IU."
53,"Opciones de Visibilidad del Nombre","Ajusta las opciones relacionadas con la información mostrada sobre cada personaje."
54,"Opciones de Barra de Acciones","Ajusta las opciones relacionadas con las barras de acción."
55,"Opciones de Chat","Ajusta las opciones relacionadas con el chat, como el tamaño de la fuente y los filtros de chat."
56,"Perfil JcJ","Muestra la información JcJ de tu personaje, como el rango y registros de rendimiento. También permite asignar las acciones de JcJ en tu barra de acción."
57,"Buscador de Grupo","Encuentra y recluta miembros para tu grupo basándote en condiciones previamente especificadas. También puede usarse para buscar un grupo."
58,"Marcadores de Campo","Coloca marcadores en el campo de batalla para guíar a los miembros de tu grupo y alianza."
59,"Ready Check","Envía una comprobación a los demás miembros del grupo y/o alianza para saber si están listos o no."
60,"Registro de Desafíos","Muestra la lista de desafíos que puedes realizar. También se muestra la información y recompensas. El progreso de cada categoría se reinicia los <hex:020603120303>Martes a las <hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D02030405060708090A0B0C03><hex:0D03> <hex:020810E0DB0DFF05>p.m.<hex:FF05>a.m.<hex:03> (Tiempo de la Tierra)."
61,"Guía de Monturas","Muestra información detallada de las monturas que has adquirido."
62,"Guía de Minions","Muestra información detallada de los minions que has adquirido."
63,"Opciones de Accesibilidad","Ajusta las opciones de accesibilidad. Esto permite que sea mas fácil escuchar, ver y usar el juego."
64,"Registro de Miradores","Muestra información sobre los miradores."
65,"Gold Saucer","Muestra información relativa al Gold Saucer, incluidos los MGP en posesión, temporizar para el Cactpot, resultados de los torneos de Triple Triad, tus mazos de cartas, la barra de acceso rápido de Señor de Verminion, la configuración del Mahjong de Doma y el estado de las carreras de chocobos."
66,"Divisas","Muestra información sobre todas las divisas en posesión."
67,"Corrientes de Aether","Muestra la información de sincronización con las corrientes de aether."
68,"Guía de Juego","Abre el menú que da acceso a la página oficial de FINAL FANTASY XIV."
69,"Lista del Orquestrion","Muestra información sobre los rollos de orquestrion obtenidos."
70,"Sala de los Novatos","Otorga acceso a la Sala de los Novatos donde los nuevos Adeptos de la Guerra y la Magia pueden aprender los conceptos básicos de los roles de tanque, sanador y dps."
71,"Opciones de los Objetos","Ajusta las opciones de objetos y del inventario."
72,"Buscador de Incursiones","Participa en las incursiones de más alto nivel. Permite a los jugadores en solitario o grupos que no cumplen los requisitos emparejarse con jugadores que tienen los mismos objetivos."
73,"Cuenta Atrás","Fija y muestra una cuenta atrás numérica visible para todos los miembros del grupo y/o alianza."
74,"Contactos","Muestra la lista de jugadores con lo que has jugado recientemente. Los jugadores en esta lista pueden ser añadidos a tu lista de amigos."
75,"Velocidad de Monturas","Muestra la velocidad de movimiento de tus monturas en todas las áreas."
76,"Grabador de deberes","Muestra los deberes grabados y ajusta las opciones del grabador."
77,"Bolsa de Chocobo","Muestra la lista de todos los objetos en la bolsa de tu chocobo. Desde esta lista, los objetos pueden ser transferidos a tu inventario o al de un custodio. No se puede acceder a esta bolsa mientras se particpa en un deber instanciado."
78,"Equipo JcJ","Muestra la información de tu equipo JcJ."
79,"Ready Check de Grabación","Envía una comprobación a los demás miembros del grupo y/o alianza para saber si están listos o no antes de comenzar a grabar un deber. Solo se puede usar en deberes que permiten la grabación."
80,"CWLS","Abre la interfaz de Linkshell que permite crear Linkshells, aceptar invitaciones e invitar jugadores a que se unan."
81,"Libro de Hechizos de Magia Azul","Muestra todos los hechizos de magia azul aprendidos. También permite añadir y eliminar hechizos."
82,"Hombro con Hombro","Forma un grupo con los Descendientes del Séptimo Amanecer (PNJ) para acceder a mazmorras."
83,"Opciones de Tema","Selecciona un esquema de colores para la interfaz de usuario."
84,"FATE Compartida","Muestra el progreso de las FATE compartidas en las regiones aplicables, incluyendo la clasificación y número de FATE completadas. Las FATE compartida son aquellas que otorgan gemas bicolor."
85,"Compañía","Crea una compañía y confirma el estado de esta."
86,"Buscador de Compañías","Muestra la lista de las compañías que están reclutando miembros y permite unirse a ella."
87,"Colección","Muestra los objetos de interés recolectados durante tus aventuras."
88,"Nueva Partida+","Repite tus misiones favoritos con tu nivel actual."
89,"Accesorios de Moda","Muestra la lista de accesorios de moda que has conseguido."
90,"Webs Oficiales","Muestra la lista de las páginas oficiales de FINAL FANTASY XIV."
91,"Apoyo para el Deber","Forma un grupo con PNJ para acceder a mazmorras. Puede no estar disponible en todas las mazmorras."
92,"Retratos","Visualiza tu galería de retratos o edita los retratos para cada uno de tus conjuntos de equipo."
93,"Placa de Aventurero","Edita la apariencia y el contenido de tu perfil para compartirlo con otros aventureros."
94,"Buscador de Mazmorras V&C","Únete a las mazmorras Variantes y Criterion. También permite ajustar las opciones de la mazmorra y visualizar las entradas conseguidas de la mazmorra."
